postal_code,estimated_cat_population,estimated_dog_population
NE42,"1,384.82","1,588.14"
NE43,"1,982.73","2,273.83"
NE44,474.7203276,544.4192519
NE45,495.0125848,567.690839
NE46,"4,970.58","5,700.37"
NE47,"2,570.40","2,947.79"
NE48,644.3444441,738.9477548
NE49,"3,896.37","4,468.44"
NE5,"3,867.21","4,435.00"
NE6,"6,863.31","7,870.99"
NE61,"5,460.75","6,262.50"
NE62,"1,734.25","1,988.87"
NE63,"7,132.92","8,180.18"
NE64,951.7412522,"1,091.48"
NE65,"5,876.32","6,739.09"
NE66,"8,301.05","9,519.82"
NE67,407.8680845,467.751694
NE68,469.8867461,538.875999
NE69,157.9142738,181.0994091
NE7,"1,688.94","1,936.91"
NE70,415.3066322,476.2823769
NE71,"1,536.16","1,761.70"
NE8,"3,116.01","3,573.50"
NE9,"7,537.37","8,644.01"
NG1,"2,081.68","2,387.32"
NG10,"3,086.71","3,539.91"
NG11,"5,554.16","6,369.63"
NG12,"12,313.73","14,121.65"
NG13,"6,767.97","7,761.65"
NG14,"8,154.42","9,351.66"
NG15,"9,382.05","10,759.53"
NG16,"9,038.69","10,365.77"
NG17,"5,395.50","6,187.67"
NG18,"2,440.45","2,798.76"
NG19,"6,234.19","7,149.50"
NG2,"5,663.59","6,495.13"
NG20,"2,525.79","2,896.63"
NG21,"3,206.49","3,677.27"
NG22,"6,062.42","6,952.51"
NG23,"5,423.34","6,219.60"
NG24,"8,517.64","9,768.21"
NG25,"5,040.40","5,780.44"
NG3,"6,323.84","7,252.31"
NG31,"8,058.74","9,241.93"
NG32,"2,961.33","3,396.12"
NG33,"2,114.34","2,424.77"
NG34,"16,040.74","18,395.86"
NG4,"4,927.68","5,651.17"
NG5,"5,586.74","6,407.00"
NG6,"1,657.89","1,901.30"
NG7,"7,362.77","8,443.78"
NG8,"17,481.60","20,048.27"
NG9,"7,901.60","9,061.72"
NN1,"6,997.11","8,024.44"
NN10,"2,547.26","2,921.25"
NN11,"9,231.18","10,586.51"
NN12,"9,664.27","11,083.19"
NN13,"3,797.50","4,355.05"
NN14,"13,311.82","15,266.27"
NN15,"4,233.77","4,855.37"
NN16,"6,082.39","6,975.41"
NN17,"2,212.72","2,537.60"
NN18,"1,912.45","2,193.23"
NN2,"4,085.04","4,684.81"
NN29,"1,303.04","1,494.35"
NN3,"9,500.90","10,895.84"
NN4,"3,961.01","4,542.57"
NN5,"5,179.01","5,939.39"
NN6,"6,498.84","7,453.01"
NN7,"4,061.05","4,657.29"
NN8,"6,713.26","7,698.91"
NN9,"2,508.60","2,876.91"
NP10,"1,905.35","2,185.09"
NP11,"5,298.50","6,076.43"
NP12,"3,766.22","4,319.18"
NP13,"1,273.03","1,459.93"
NP15,"4,140.19","4,748.06"
NP16,"7,265.33","8,332.03"
NP18,"4,216.53","4,835.60"
NP19,"5,943.01","6,815.57"
NP20,"6,382.21","7,319.25"
NP22,"3,737.05","4,285.73"
NP23,"3,086.87","3,540.09"
NP24,480.3613277,550.8884694
NP25,"6,029.82","6,915.12"
NP26,"4,669.26","5,354.80"
NP4,"6,545.95","7,507.03"
NP44,"7,011.11","8,040.49"
NP7,"9,804.64","11,244.16"
NP8,"2,414.95","2,769.52"
NR1,"8,023.56","9,201.59"
NR10,"4,613.60","5,290.97"
NR11,"3,044.92","3,491.98"
NR12,"5,613.10","6,437.22"
NR13,"4,647.41","5,329.75"
NR14,"16,946.63","19,434.75"
NR15,"12,068.69","13,840.63"
NR16,"4,997.48","5,731.22"
NR17,"4,178.11","4,791.54"
NR18,"2,592.63","2,973.28"
NR19,"3,091.81","3,545.76"
NR2,"3,161.44","3,625.60"
NR20,"5,350.46","6,136.02"
NR21,"7,695.93","8,825.85"
NR22,427.0726818,489.77593
NR23,"1,588.90","1,822.18"
NR24,839.7305877,963.0206919
NR25,"2,185.24","2,506.08"
NR26,"2,058.44","2,360.66"
NR27,"2,825.62","3,240.48"
NR28,"2,508.63","2,876.95"
NR29,"2,844.84","3,262.52"
NR3,"4,678.35","5,365.23"
NR30,"3,948.46","4,528.18"
NR31,"2,791.99","3,201.91"
NR32,"4,400.52","5,046.61"
NR33,"13,172.80","15,106.85"
NR34,"7,891.22","9,049.81"
NR35,"5,038.06","5,777.75"
NR4,"3,158.02","3,621.68"
NR5,"4,857.12","5,570.24"
NR6,"2,913.54","3,341.31"
NR7,"5,767.82","6,614.66"
NR8,"6,593.46","7,561.52"
NR9,"3,303.51","3,788.53"
NW1,"5,426.58","6,223.32"
NW10,"4,041.36","4,634.72"
NW11,"2,449.20","2,808.80"
NW2,"3,587.69","4,114.44"
NW3,"6,442.89","7,388.85"
NW4,"2,784.07","3,192.82"
NW5,"2,605.91","2,988.52"
NW6,"3,633.04","4,166.45"
NW7,"1,464.83","1,679.90"
NW8,"2,696.63","3,092.55"
NW9,"2,041.92","2,341.72"
OL1,"2,037.09","2,336.18"
OL10,"1,346.14","1,543.78"
OL11,"4,062.29","4,658.72"
OL12,"3,641.14","4,175.73"
OL13,"1,314.33","1,507.30"
OL14,"4,262.23","4,888.01"
OL15,"2,195.31","2,517.62"
OL16,"2,538.23","2,910.90"
OL2,"4,887.64","5,605.25"
OL3,"1,591.25","1,824.88"
OL4,"2,490.60","2,856.27"
OL5,"1,348.48","1,546.47"
OL6,"3,581.63","4,107.49"
OL7,"2,217.70","2,543.31"
OL8,"1,704.34","1,954.58"
OL9,"2,566.69","2,943.54"
OX1,"6,914.29","7,929.45"
OX10,"13,218.06","15,158.75"
OX11,"9,689.32","11,111.91"
OX12,"7,960.07","9,128.78"
OX13,"2,654.36","3,044.07"
OX14,"10,994.07","12,608.23"
OX15,"10,362.61","11,884.06"
OX16,"12,944.76","14,845.32"
OX17,"8,934.94","10,246.77"
OX18,"6,503.70","7,458.58"
OX2,"6,440.66","7,386.28"
OX20,578.321351,663.2310836
OX25,"5,598.64","6,420.63"
OX26,"8,091.69","9,279.73"
OX27,"3,042.94","3,489.70"
OX28,"4,687.39","5,375.60"
LE87,0,0
LE95,0,0
LS98,0,0
LS99,0,0
M60,0,0
M61,0,0
M99,0,0
MK77,0,0
N81,0,0
NE85,0,0
NE92,0,0
NE98,0,0
NE99,0,0
NG80,0,0
NG90,0,0
NR99,0,0
OX29,"5,293.74","6,070.97"
OX3,"8,106.73","9,296.97"
OX33,"2,364.89","2,712.11"
OX39,"3,638.92","4,173.19"
OX4,"3,864.49","4,431.88"
OX44,"1,294.99","1,485.12"
OX49,"1,035.55","1,187.59"
OX5,"1,598.34","1,833.01"
OX7,"12,377.88","14,195.21"
OX9,"3,494.43","4,007.49"
PA1,"3,725.40","4,272.37"
PA10,"1,035.57","1,187.61"
PA11,602.2468142,690.6693077
PA12,352.4384077,404.1837754
PA13,473.4634833,542.9778764
PA14,"1,541.95","1,768.34"
PA15,"1,859.02","2,131.97"
PA16,"2,599.42","2,981.06"
PA17,425.1566095,487.5785379
PA18,262.3011052,300.8124219
PA19,"1,107.03","1,269.57"
PA2,"5,560.88","6,377.33"
PA20,"2,088.71","2,395.37"
PA21,184.5210606,211.6126316
PA22,64.79784997,74.31153661
PA23,"2,283.94","2,619.27"
PA24,94.54224629,108.4230356
PA25,16.74859483,19.20764066
PA26,25.54013819,29.28996742
PA27,150.1230676,172.16429
PA28,"4,389.48","5,033.94"
PA29,624.5751543,716.2759176
PA3,"3,813.63","4,373.55"
PA30,261.8498576,300.2949217
PA31,"1,105.34","1,267.63"
PA32,255.1198264,292.5767804
PA33,161.3411302,185.0294
PA34,"2,275.95","2,610.11"
PA35,301.6108599,345.8936749
PA36,9.599033543,11.00837347
PA37,518.6329569,594.7791783
PA38,187.1020762,214.5725944
PA4,"1,438.90","1,650.16"
PA41,100.0368191,114.7243272
PA42,445.7950934,511.2471852
PA43,315.059711,361.3171002
PA44,119.3626131,136.8875541
PA45,47.1643858,54.08910919
PA46,73.9156454,84.76801609
PA47,97.68988421,112.032813
PA48,142.9832403,163.976186
PA49,83.83311261,96.14157599
PA5,"2,171.47","2,490.28"
PA6,563.9328342,646.7300299
PA60,112.4681692,128.9808608
PA61,87.52984921,100.3810712
PA62,9.589018184,10.99688765
PA63,3.319275525,3.806614954
PA64,22.1285035,25.37743303
PA65,48.41973112,55.52876558
PA66,38.87748263,44.58551441
PA67,75.4899838,86.57350047
PA68,4.798892675,5.503471008
PA69,7.517571253,8.621308757
PA7,200.5315259,229.9737697
PA70,21.0948023,24.19196276
PA71,10.9380723,12.54401126
PA72,78.43040811,89.94564088
PA73,17.23251488,19.76261034
PA74,9.737510775,11.16718207
PA75,295.8851383,339.3272971
PA76,36.08987585,41.38862835
PA77,"1,394.41","1,599.13"
PA78,143.7243131,164.8260639
PA8,452.9937314,519.5027346
PA80,73.56331781,84.3639594
PA9,398.1811442,456.6425072
PE1,"10,432.25","11,963.93"
PE10,"3,755.11","4,306.44"
PE11,"6,074.28","6,966.11"
PE12,"3,914.92","4,489.71"
PE13,"2,839.48","3,256.37"
PE14,"2,816.98","3,230.57"
PE15,"4,301.33","4,932.86"
PE16,980.1974346,"1,124.11"
PE19,"7,196.91","8,253.57"
PE2,"5,821.49","6,676.20"
PE20,"3,860.60","4,427.42"
PE21,"5,023.87","5,761.48"
PE22,"2,173.61","2,492.74"
PE23,"2,916.29","3,344.47"
PE24,"1,226.04","1,406.05"
PE25,584.3473033,670.1417723
PE26,"1,024.47","1,174.88"
PE27,"3,195.00","3,664.09"
PE28,"7,358.83","8,439.26"
PE29,"10,645.60","12,208.60"
PE3,"4,641.11","5,322.52"
PE30,"10,645.36","12,208.32"
PE31,"5,423.94","6,220.29"
PE32,"2,948.67","3,381.60"
PE33,"1,997.10","2,290.32"
PE34,"3,703.70","4,247.48"
PE35,27.21152758,31.20675191
PE36,862.3738672,988.9884808
PE37,"2,522.62","2,893.00"
PE38,"1,787.94","2,050.44"
PE4,"3,168.66","3,633.88"
PE5,224.486374,257.4456931
PE6,"6,264.97","7,184.80"
PE7,"5,250.08","6,020.91"
PE8,"6,324.58","7,253.16"
PE9,"4,978.45","5,709.39"
PH1,"6,912.49","7,927.39"
PH10,"1,661.32","1,905.23"
PH11,536.5630676,615.3418062
PH12,407.3418726,467.1482232
PH13,616.7882688,707.3457535
PH14,327.5091833,375.5944167
PH15,"1,360.68","1,560.46"
PH16,"1,928.87","2,212.06"
PH17,102.0135066,116.991234
PH18,372.4836815,427.1721168
PH19,37.98077057,43.55714617
PH2,"8,485.19","9,730.99"
PH20,548.0106519,628.4701365
PH21,782.3497361,897.2151249
PH22,"1,338.39","1,534.89"
PH23,337.2298846,386.7423213
PH24,429.5195966,492.5821033
PH25,494.4164852,567.0072195
PH26,"1,696.24","1,945.29"
PH3,"2,681.19","3,074.84"
PH30,4.123760052,4.729214723
PH31,85.05667565,97.5447838
PH32,130.9381841,150.1626623
PH33,"1,756.74","2,014.67"
PH34,172.5074452,197.8351649
PH35,67.28181958,77.16020518
PH36,257.0792792,294.823922
PH37,25.69419725,29.46664558
PH38,38.0654774,43.65428975
PH39,74.3410862,85.25592055
PH4,350.2100791,401.6282813
PH40,47.30148588,54.24633844
PH41,152.0999744,174.4314483
PH42,15.54340327,17.82550165
PH43,10.5019701,12.0438801
PH44,9.990178189,11.45694637
PH49,182.8746435,209.7244858
PH5,175.0338209,200.7324656
PH50,167.0289228,191.5522802
PH6,562.4805081,645.0644718
PH7,"1,874.28","2,149.46"
PH8,401.5898153,460.5516429
PH9,395.7075408,453.8057269
PL1,"3,545.99","4,066.62"
PL10,"1,062.82","1,218.87"
PL11,"2,552.15","2,926.86"
PL12,"4,995.60","5,729.06"
PL13,"1,200.94","1,377.26"
PL14,"8,319.27","9,540.72"
PL15,"8,154.08","9,351.27"
PL16,957.2512679,"1,097.80"
PL17,"5,037.67","5,777.30"
PL18,"2,070.43","2,374.41"
PL19,"7,998.24","9,172.54"
PL2,"3,383.51","3,880.28"
PL20,"3,032.84","3,478.12"
PL21,"8,749.49","10,034.10"
PL22,"1,487.18","1,705.53"
PL23,"1,533.24","1,758.35"
PL24,"2,773.28","3,180.46"
PL25,"4,926.81","5,650.17"
PL26,"7,651.88","8,775.33"
PL27,"4,516.73","5,179.88"
PL28,"1,043.20","1,196.37"
PL29,637.2713299,730.8361586
PL3,"2,839.05","3,255.88"
PL30,"3,531.54","4,050.05"
PL31,"4,247.26","4,870.85"
PL32,833.6417697,956.0379074
PL33,731.346319,838.7233339
PL34,626.0331096,717.9479314
PL35,198.5287164,227.6769057
PL4,"2,224.98","2,551.65"
PL5,"2,895.78","3,320.95"
PL6,"9,591.87","11,000.16"
PL7,"3,494.17","4,007.19"
PL8,"4,384.89","5,028.69"
PL9,"4,854.67","5,567.43"
PO1,"2,657.54","3,047.72"
PO10,"6,654.67","7,631.71"
PO11,"1,584.34","1,816.96"
PO12,"7,141.83","8,190.40"
PO13,"5,034.00","5,773.10"
PO14,"6,968.48","7,991.60"
PO15,"10,020.82","11,492.09"
PO16,"2,986.29","3,424.74"
PO17,"3,383.98","3,880.82"
PO18,"4,118.81","4,723.54"
PO19,"3,509.79","4,025.10"
PO2,"5,402.88","6,196.13"
PO20,"8,797.76","10,089.46"
PO21,"7,869.99","9,025.46"
PO22,"3,677.63","4,217.59"
PO3,"3,708.62","4,253.12"
PO30,"12,297.64","14,103.19"
PO31,"1,609.98","1,846.36"
PO32,"1,248.46","1,431.76"
PO33,"3,533.98","4,052.84"
PO34,518.2367984,594.3248554
PO35,"2,553.21","2,928.07"
PO36,"1,326.19","1,520.91"
PO37,580.0878707,665.2569655
PO38,"5,689.81","6,525.20"
PO39,"1,309.09","1,501.29"
PO4,"1,911.38","2,192.01"
PO40,"3,380.76","3,877.13"
PO41,"3,590.45","4,117.60"
PO5,"1,803.57","2,068.38"
PO6,"3,148.33","3,610.57"
PO7,"5,838.64","6,695.88"
PO8,"6,019.17","6,902.91"
PO9,"7,554.99","8,664.22"
PR1,"12,385.03","14,203.41"
PR2,"8,227.80","9,435.81"
PR25,"1,646.60","1,888.36"
PR26,"2,543.58","2,917.03"
PR3,"20,837.10","23,896.43"
PR4,"14,721.59","16,883.03"
PR5,"5,579.96","6,399.21"
PR6,"1,948.21","2,234.25"
PR7,"3,474.10","3,984.17"
PR8,"6,883.44","7,894.08"
PR9,"7,248.10","8,312.27"
RG1,"3,903.41","4,476.51"
RG10,"8,284.54","9,500.89"
RG12,"5,755.82","6,600.90"
RG14,"12,949.99","14,851.32"
RG17,"3,307.31","3,792.89"
RG18,"8,260.84","9,473.70"
RG19,"8,551.47","9,807.01"
RG2,"5,154.89","5,911.74"
RG20,"10,190.87","11,687.10"
RG21,"2,381.37","2,731.00"
RG22,"4,644.40","5,326.30"
RG23,"1,184.74","1,358.68"
RG24,"2,499.17","2,866.10"
RG25,"3,163.22","3,627.65"
RG26,"3,919.72","4,495.21"
RG27,"4,774.32","5,475.29"
RG28,"1,006.74","1,154.55"
RG29,"1,174.93","1,347.44"
RG30,"3,954.79","4,535.43"
RG31,"2,034.28","2,332.95"
RG4,"3,958.30","4,539.47"
RG40,"10,290.81","11,801.72"
RG41,"6,128.46","7,028.25"
RG42,"3,662.10","4,199.77"
RG45,"2,399.24","2,751.50"
RG5,"3,411.58","3,912.47"
RG6,"3,299.85","3,784.33"
RG7,"10,663.70","12,229.36"
RG8,"4,246.42","4,869.88"
RG9,"10,724.77","12,299.39"
RH1,"11,965.63","13,722.43"
RH10,"6,485.05","7,437.19"
RH11,"6,816.92","7,817.79"
RH12,"13,471.12","15,448.96"
RH13,"9,975.84","11,440.50"
RH14,"6,621.49","7,593.66"
RH15,"5,536.85","6,349.77"
RH16,"4,953.18","5,680.41"
RH17,"2,605.04","2,987.51"
RH18,541.172627,620.6281459
RH19,"5,727.57","6,568.49"
RH2,"6,346.11","7,277.85"
RH20,"7,823.78","8,972.48"
RH3,828.7973238,950.482195
RH4,"1,591.81","1,825.52"
RH5,"7,578.52","8,691.21"
RH6,"5,007.83","5,743.08"
RH7,"3,035.22","3,480.86"
RH8,"2,353.81","2,699.39"
RH9,"1,175.33","1,347.89"
RM1,"1,449.45","1,662.25"
RM10,"1,782.77","2,044.52"
RM11,"2,216.75","2,542.22"
RM12,"2,666.74","3,058.28"
RM13,"1,641.94","1,883.01"
RM14,"7,567.76","8,678.87"
RM15,"1,610.32","1,846.75"
RM16,"2,397.98","2,750.05"
RM17,"2,359.46","2,705.88"
RM18,804.8865305,923.0607945
RM19,181.6896757,208.3655399
RM2,788.5230366,904.2947957
RM20,300.023888,344.0737022
RM3,"7,014.08","8,043.90"
RM4,539.4732095,618.6792181
RM5,743.9748631,853.2060138
RM6,"1,784.30","2,046.27"
RM7,"2,764.44","3,170.32"
RM8,"1,774.18","2,034.67"
RM9,"1,026.28","1,176.96"
S1,714.3359721,819.2155105
S10,"4,691.29","5,380.07"
S11,"4,281.39","4,909.99"
S12,"4,211.19","4,829.48"
S13,"2,004.79","2,299.13"
S14,725.342323,831.8378251
S17,"1,764.35","2,023.39"
S18,"5,920.52","6,789.77"
S2,"2,639.50","3,027.03"
S20,"3,559.77","4,082.42"
S21,"2,445.46","2,804.51"
S25,"3,157.53","3,621.12"
S26,"2,528.59","2,899.84"
S3,"1,527.91","1,752.24"
S32,"2,944.36","3,376.66"
S33,"1,429.93","1,639.87"
S35,"3,759.73","4,311.74"
S36,"8,681.59","9,956.23"
S4,"1,082.60","1,241.55"
S40,"4,374.44","5,016.70"
S41,"7,013.14","8,042.82"
S42,"2,670.28","3,062.34"
S43,"6,825.41","7,827.52"
S44,"2,812.03","3,224.90"
S45,"1,535.59","1,761.04"
S5,"2,842.39","3,259.71"
S6,"6,871.52","7,880.40"
S60,"1,359.09","1,558.64"
S61,"1,464.94","1,680.02"
S62,"2,095.96","2,403.69"
S63,"6,195.71","7,105.37"
S64,"1,393.48","1,598.08"
S65,"1,003.63","1,150.99"
S66,"2,235.65","2,563.89"
S7,"2,566.80","2,943.66"
S70,"4,145.29","4,753.91"
S71,"4,812.92","5,519.56"
S72,"1,628.67","1,867.79"
S73,"1,156.15","1,325.89"
S74,"1,607.91","1,843.98"
S75,"3,906.97","4,480.59"
S8,"5,877.15","6,740.04"
S80,"4,742.80","5,439.14"
S81,"4,780.91","5,482.85"
S9,"2,516.11","2,885.53"
SA1,"11,389.82","13,062.08"
SA10,"5,172.96","5,932.46"
SA11,"8,799.90","10,091.91"
SA12,"6,717.59","7,703.87"
SA13,"3,179.74","3,646.59"
SA14,"3,287.97","3,770.71"
SA15,"7,273.99","8,341.97"
SA16,"2,224.19","2,550.75"
SA17,"4,357.82","4,997.64"
SA18,"5,713.37","6,552.21"
SA19,"7,098.37","8,140.56"
SA2,"10,693.13","12,263.10"
SA20,"1,031.57","1,183.03"
SA3,"7,825.78","8,974.77"
SA31,"6,054.16","6,943.03"
SA32,"2,077.01","2,381.95"
SA33,"9,529.77","10,928.94"
SA34,"5,079.01","5,824.71"
SA35,251.1668975,288.0434784
SA36,126.7859227,145.4007616
SA37,474.8185904,544.5319417
SA38,"1,544.81","1,771.62"
SA39,"1,745.33","2,001.58"
SA4,"4,664.17","5,348.96"
SA40,"2,051.87","2,353.13"
SA41,751.0325999,861.2999747
SA42,700.574831,803.4339445
SA43,"5,317.05","6,097.71"
SA44,"6,003.18","6,884.57"
SA45,824.5609349,945.6238152
SA46,"2,398.38","2,750.51"
SA47,491.8144828,564.0231884
SA48,"6,607.24","7,577.32"
SA5,"3,041.11","3,487.61"
SA6,"6,320.51","7,248.50"
SA61,"9,428.11","10,812.35"
SA62,"14,914.74","17,104.53"
SA63,"1,981.13","2,272.01"
SA64,893.047543,"1,024.17"
SA65,"1,236.32","1,417.84"
SA66,"3,298.30","3,782.56"
SA67,"5,788.13","6,637.95"
SA68,"1,012.09","1,160.69"
SA69,734.476538,842.3131349
SA7,"1,828.04","2,096.43"
SA70,"1,550.44","1,778.07"
SA71,"1,102.50","1,264.37"
SA72,975.8982206,"1,119.18"
SA73,"3,404.52","3,904.37"
SA8,"4,497.67","5,158.02"
SA9,"2,663.35","3,054.39"
SE1,"1,480.69","1,698.08"
SE10,"1,800.66","2,065.03"
SE11,824.0565724,945.0454016
SE12,"1,209.14","1,386.67"
SE13,"1,226.23","1,406.27"
SE14,809.5557466,928.4155497
SE15,"1,276.42","1,463.83"
SE16,"1,040.98","1,193.81"
SE17,495.559426,568.317968
SE18,"3,704.94","4,248.90"
SE19,780.8146869,895.4546982
SE2,"1,459.16","1,673.40"
SE20,679.7611948,779.564429
SE21,721.0923497,826.9638664
SE22,"1,492.57","1,711.71"
SE23,"1,689.69","1,937.77"
SE24,619.133004,710.0347452
SE25,"1,220.61","1,399.82"
SE26,"1,227.74","1,408.00"
SE27,847.1882232,971.573265
SE28,"1,039.48","1,192.10"
SE3,"1,703.90","1,954.06"
SE4,"1,086.19","1,245.66"
SE5,619.5548553,710.5185332
SE6,"1,982.04","2,273.05"
SE7,"3,609.91","4,139.92"
SE8,991.8936377,"1,137.52"
SE9,"3,690.76","4,232.64"
SG1,"7,060.89","8,097.57"
SG10,306.6499196,351.6725746
SG11,"1,161.70","1,332.26"
SG12,"14,875.72","17,059.79"
SG13,"4,602.06","5,277.74"
SG14,"6,237.99","7,153.85"
SG15,534.1500222,612.574475
SG16,762.45553,874.4000311
SG17,"1,539.72","1,765.78"
SG18,"5,849.16","6,707.94"
SG19,"9,333.01","10,703.29"
SG2,"4,294.63","4,925.18"
SG3,"1,856.70","2,129.31"
SG4,"2,092.46","2,399.68"
SG5,"10,178.76","11,673.22"
SG6,"2,743.90","3,146.76"
SG7,"1,851.23","2,123.03"
SG8,"8,276.20","9,491.32"
SG9,"4,008.69","4,597.25"
SK1,"1,267.36","1,453.43"
SK10,"12,387.64","14,206.41"
SK11,"8,156.47","9,354.01"
SK12,"6,049.64","6,937.85"
SK13,"3,504.90","4,019.50"
SK14,"2,505.22","2,873.04"
SK15,"1,180.51","1,353.83"
SK16,"1,229.92","1,410.50"
SK17,"7,644.15","8,766.47"
SK2,"1,741.06","1,996.68"
SK22,"3,302.23","3,787.06"
SK23,"5,237.17","6,006.10"
SK3,"5,110.91","5,861.30"
SK4,"3,845.65","4,410.27"
SK5,"3,245.14","3,721.59"
SK6,"4,545.27","5,212.61"
SK7,"4,542.29","5,209.19"
SK8,"14,417.81","16,534.65"
SK9,"12,069.97","13,842.09"
SL0,733.0018302,840.621909
SL1,"7,898.49","9,058.16"
SL2,"5,936.35","6,807.93"
SL3,"2,717.87","3,116.91"
SL4,"8,430.07","9,667.78"
SL5,"4,236.59","4,858.61"
SL6,"14,184.01","16,266.52"
SL7,"11,803.32","13,536.29"
SL8,571.0107872,654.8471752
SL9,"4,499.82","5,160.49"
SM1,"3,393.77","3,892.05"
SM2,"3,398.61","3,897.59"
SM3,"2,733.93","3,135.33"
SM4,"2,777.05","3,184.77"
SM5,"2,339.08","2,682.51"
SM6,"1,593.15","1,827.05"
SM7,"2,587.21","2,967.06"
SN1,"11,660.84","13,372.90"
SN10,"3,770.66","4,324.27"
SN11,"5,245.88","6,016.09"
PL95,0,0
PR11,0,0
RH77,0,0
S49,0,0
S95,0,0
S96,0,0
S97,0,0
S98,0,0
S99,0,0
SA80,0,0
SA99,0,0
SE1P,0,0
SL95,0,0
SN12,"6,582.00","7,548.38"
SN13,"7,093.82","8,135.34"
SN14,"6,917.70","7,933.36"
SN15,"19,911.21","22,834.60"
SN16,"8,634.28","9,901.97"
SN2,"9,128.91","10,469.23"
SN25,"4,029.84","4,621.51"
SN26,218.9557411,251.1030471
SN3,"15,861.03","18,189.77"
SN4,"13,923.92","15,968.24"
SN5,"5,494.24","6,300.91"
SN6,"6,599.93","7,568.93"
SN7,"4,096.56","4,698.02"
SN8,"15,396.81","17,657.38"
SN9,970.7087413,"1,113.23"
SO14,"1,599.46","1,834.29"
SO15,"3,587.02","4,113.67"
SO16,"6,257.47","7,176.20"
SO17,"1,235.53","1,416.94"
SO18,"3,282.01","3,763.88"
SO19,"3,547.88","4,068.79"
SO20,"1,400.89","1,606.57"
SO21,"12,147.59","13,931.11"
SO22,"4,111.78","4,715.48"
SO23,"5,843.49","6,701.44"
SO24,"2,996.61","3,436.57"
SO30,"5,369.13","6,157.43"
SO31,"9,594.00","11,002.60"
SO32,"6,697.51","7,680.85"
SO40,"5,099.88","5,848.65"
SO41,"5,171.48","5,930.76"
SO42,892.9609829,"1,024.07"
SO43,805.6287677,923.9120077
SO45,"7,896.67","9,056.07"
SO50,"10,286.16","11,796.38"
SO51,"4,369.57","5,011.11"
SO52,871.5231806,999.4811058
SO53,"6,751.36","7,742.61"
SP1,"9,020.52","10,344.92"
SP10,"6,667.39","7,646.30"
SP11,"4,625.11","5,304.17"
SP2,"7,258.09","8,323.73"
SP3,"4,244.38","4,867.54"
SP4,"9,740.89","11,171.06"
SP5,"5,476.88","6,281.01"
SP6,"8,975.72","10,293.55"
SP7,"6,350.15","7,282.48"
SP8,"8,003.65","9,178.75"
SP9,"4,111.92","4,715.64"
SR1,289.4940249,331.9978339
SR2,819.8888664,940.2657887
SR3,"1,275.53","1,462.80"
SR4,"2,631.57","3,017.94"
SR5,"4,308.29","4,940.83"
SR6,"3,319.72","3,807.13"
SR7,"1,703.90","1,954.07"
SR8,"1,427.96","1,637.62"
SS0,"5,415.06","6,210.11"
SS1,"2,906.51","3,333.25"
SS11,"1,632.26","1,871.91"
SS12,824.9320578,946.0494267
SS13,"1,844.11","2,114.86"
SS14,"3,669.99","4,208.82"
SS15,"3,317.01","3,804.02"
SS16,"5,922.45","6,791.98"
SS17,"2,147.01","2,462.24"
SS2,"4,447.51","5,100.50"
SS3,"2,606.26","2,988.91"
SS4,"1,812.81","2,078.97"
SS5,"2,928.23","3,358.16"
SS6,"3,418.00","3,919.83"
SS7,"5,434.79","6,232.73"
SS8,"3,542.60","4,062.72"
SS9,"6,801.16","7,799.72"
ST1,"2,993.80","3,433.36"
ST10,"8,200.85","9,404.91"
ST11,"3,172.36","3,638.13"
ST12,841.9904816,965.6123857
ST13,"8,013.28","9,189.80"
ST14,"7,662.62","8,787.66"
ST15,"10,744.36","12,321.86"
ST16,"4,097.62","4,699.23"
ST17,"6,515.44","7,472.04"
ST18,"3,146.58","3,608.57"
ST19,"6,714.50","7,700.33"
ST2,"6,401.80","7,341.72"
ST20,"2,038.16","2,337.41"
ST21,"5,065.41","5,809.12"
ST3,"7,778.49","8,920.54"
ST4,"3,726.58","4,273.72"
ST5,"7,821.25","8,969.57"
ST6,"4,872.31","5,587.67"
ST7,"10,638.71","12,200.70"
ST8,"4,714.79","5,407.02"
ST9,"1,890.97","2,168.61"
SW10,962.5342757,"1,103.85"
SW11,"4,749.07","5,446.33"
SW12,"1,812.02","2,078.06"
SW13,"2,019.65","2,316.18"
SW14,"3,197.36","3,666.80"
SW15,"3,454.81","3,962.05"
SW16,"3,912.51","4,486.94"
SW17,"3,426.80","3,929.92"
SW18,"2,343.44","2,687.51"
SW19,"10,272.01","11,780.16"
SW1A,88.07686345,101.0083987
SW1E,207.1125135,237.5209847
SW1H,174.2648165,199.8505551
SW1P,"1,967.54","2,256.42"
SW1V,"3,562.08","4,085.07"
SW1W,"1,274.59","1,461.72"
SW1X,731.9996839,839.4726265
SW1Y,114.3267127,131.1122777
SW2,"2,656.25","3,046.24"
SW20,"2,919.11","3,347.70"
SW3,"1,915.66","2,196.92"
SW4,"2,686.10","3,080.47"
SW5,697.408145,799.8023225
SW6,"5,106.69","5,856.46"
SW7,"1,045.18","1,198.63"
SW8,"3,011.78","3,453.97"
SW9,956.9659638,"1,097.47"
SY1,"4,016.98","4,606.76"
SY10,"4,765.87","5,465.60"
SY11,"8,301.31","9,520.12"
SY12,"6,666.41","7,645.18"
SY13,"11,139.48","12,774.99"
SY14,"5,109.75","5,859.97"
